#;Метод;50%;70%;80%;85%;90%;91%;92%;93%;94%;95%;96%;97%;AUSC;Dev%;AUSCa;RCU
1;FES-NSDE;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.470;0.0;0.470;74
2;E-HTA (Hessian);1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.470;0.0;0.470;30
3;ACDE;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.91;0.85;0.468;0.0;0.468;59
4;TESA-26;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.78;0.466;0.2;0.466;32
5;WANDA (SOTA);1.00;1.00;1.00;1.00;1.00;1.00;0.99;0.98;0.98;0.83;0.43;—;0.454;0.4;0.453;14
6;SparseGPT (SOTA);1.00;1.00;1.00;0.99;0.98;0.92;0.92;0.91;0.80;0.87;0.66;—;0.451;0.4;0.450;30
7;RIA (SOTA);1.00;1.00;1.00;1.00;0.99;0.99;0.96;0.91;0.91;0.51;0.42;—;0.449;0.4;0.448;14
8;Evo-SynFlow (Ex07);1.00;1.00;1.00;0.99;0.55;0.50;0.51;0.49;0.35;—;—;—;0.418;0.0;0.418;24
9;Magnitude;1.00;1.00;0.99;0.97;0.53;0.59;0.55;0.55;—;—;—;—;0.416;0.0;0.416;20
10;SET-v2 (TESA init);1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.425;2.6;0.414;75
11;VPAM (ours);0.66;0.41;—;—;—;—;0.34;—;—;—;—;—;0.199;0.3;0.198;15
