#;Метод;50%;70%;80%;85%;90%;91%;92%;93%;94%;95%;96%;97%;AUSC;Dev%;AUSCa;RCU
1;TESA-26;0.80;0.76;0.66;0.61;0.53;0.52;0.54;0.49;0.45;0.39;—;—;0.493;3.4;0.477;33
2;SET-v2 (TESA init);0.81;0.71;0.65;0.59;0.53;0.53;0.52;0.52;0.52;0.48;0.45;0.45;0.427;1.9;0.419;68
3;ACDE;0.82;0.74;0.62;0.61;0.57;0.48;0.49;0.38;—;—;—;—;0.376;0.7;0.373;59
4;FES-NSDE;0.81;0.71;0.63;0.59;0.42;0.49;0.41;0.41;—;0.41;0.37;0.35;0.303;0.0;0.303;68
5;Evo-SynFlow (Ex07);0.81;0.63;0.49;0.49;—;—;—;—;—;—;—;—;0.268;0.0;0.268;25
6;SparseGPT (SOTA);0.72;0.60;0.45;0.45;0.34;—;—;—;—;—;—;—;0.248;0.4;0.247;29
7;Magnitude;0.72;0.56;0.52;0.39;—;—;—;—;—;—;—;—;0.246;0.0;0.246;18
8;WANDA (SOTA);0.69;0.52;0.38;0.35;—;—;—;—;—;—;—;—;0.223;0.4;0.223;14
9;RIA (SOTA);0.68;0.51;0.36;—;—;—;—;—;—;—;—;—;0.219;0.4;0.218;15
10;E-HTA (Hessian);0.60;0.49;0.41;—;—;—;—;—;—;—;—;—;0.212;0.0;0.212;22
11;VPAM (ours);0.66;0.48;—;—;—;—;—;—;—;—;—;—;0.209;0.3;0.209;18
