#;Метод;50%;70%;80%;90%;93%;94%;95%;96%;AUSC;Dev%;AUSCa;RCU
1;SET-v2 (TESA init);0.88;0.86;0.78;0.70;0.65;0.65;0.63;0.61;0.505;2.5;0.493;3545
2;FES-NSDE;0.86;0.83;0.83;0.44;—;0.35;—;—;0.467;2.0;0.457;2864
3;ACDE;0.88;0.85;0.78;0.39;—;—;—;—;0.465;2.0;0.455;2741
4;Magnitude;0.90;0.90;0.89;0.89;0.88;0.87;0.87;0.86;0.411;0.0;0.411;1102
5;E-HTA (Hessian);0.90;0.90;0.90;0.88;0.88;0.88;0.88;0.86;0.410;0.0;0.410;1468
6;WANDA (SOTA);0.90;0.90;0.89;0.87;0.86;0.85;0.80;0.79;0.407;0.0;0.407;1102
7;Evo-SynFlow (Ex07);0.89;0.89;0.88;0.88;0.87;0.87;0.87;0.85;0.407;0.0;0.407;1312
8;TESA-26;0.90;0.89;0.87;0.85;0.83;0.80;0.78;0.80;0.402;0.0;0.402;1359
9;RIA (SOTA);0.90;0.89;0.88;0.86;0.83;0.78;0.69;—;0.399;0.0;0.399;1095
10;SparseGPT (SOTA);0.87;0.87;0.85;0.74;0.67;0.64;0.60;0.57;0.377;0.9;0.373;2896
11;VPAM (ours);0.86;0.84;0.77;0.40;—;—;—;—;0.323;0.0;0.323;1075
