#;Метод;50%;70%;80%;85%;90%;91%;92%;93%;94%;95%;96%;97%;AUSC;Dev%;AUSCa;RCU
1;TESA-26;0.82;0.82;0.81;0.81;0.81;0.81;0.80;0.80;0.80;0.80;0.80;0.77;0.579;2.3;0.568;30
2;SET-v2 (TESA init);0.82;0.81;0.81;0.81;0.80;0.80;0.80;0.80;0.79;0.78;0.79;0.79;0.562;3.9;0.540;62
3;FES-NSDE;0.82;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.81;0.64;0.450;0.7;0.446;64
4;ACDE;0.82;0.81;0.81;0.81;0.81;0.82;0.81;0.81;0.80;0.77;0.58;—;0.447;0.7;0.443;55
5;E-HTA (Hessian);0.81;0.81;0.80;0.80;0.80;0.80;0.80;0.79;0.80;0.79;0.75;0.77;0.378;0.0;0.378;24
6;SparseGPT (SOTA);0.82;0.81;0.81;0.79;0.62;0.60;0.65;0.47;0.45;0.47;0.44;—;0.351;0.4;0.349;28
7;VPAM (ours);0.81;0.80;0.78;0.75;0.42;0.40;—;—;—;—;—;—;0.328;0.3;0.327;16
8;Evo-SynFlow (Ex07);0.82;0.81;0.80;0.50;—;—;—;—;—;—;—;—;0.320;0.0;0.320;22
9;Magnitude;0.81;0.79;0.65;0.61;0.47;0.40;0.47;0.44;—;—;—;—;0.318;0.0;0.318;18
10;WANDA (SOTA);0.75;0.74;0.73;0.73;0.55;0.39;—;—;—;—;—;—;0.316;0.4;0.315;14
11;RIA (SOTA);0.75;0.74;0.74;0.71;0.43;—;—;—;—;—;—;—;0.310;0.4;0.309;13
