#;Метод;10%;20%;30%;50%;70%;80%;85%;90%;91%;92%;93%;94%;95%;96%;97%;AUSC;Dev%;AUSCa;RCU
1;Evo-SynFlow (Ex07);0.60;0.58;0.56;0.52;0.48;0.43;0.43;—;0.34;—;—;—;—;—;—;0.427;0.1;0.427;23
2;SparseGPT (SOTA);0.57;0.56;0.55;0.54;0.44;0.38;—;—;—;0.35;—;—;—;—;—;0.414;0.3;0.413;29
3;ACDE;0.59;0.58;0.58;—;—;—;—;—;—;—;—;—;—;—;—;0.416;1.7;0.409;19
4;Magnitude;0.57;0.56;0.51;0.49;0.44;0.37;0.40;0.39;0.38;0.37;0.38;0.38;0.36;0.35;0.40;0.409;0.0;0.409;21
5;FES-NSDE;0.58;0.57;0.55;—;—;—;—;—;—;—;—;—;—;—;—;0.407;1.8;0.400;22
6;WANDA (SOTA);0.56;0.57;0.56;0.44;0.35;—;—;—;—;—;—;—;—;—;—;0.382;0.0;0.382;13
7;VPAM (ours);0.56;0.53;0.50;0.43;0.40;0.36;—;—;—;—;—;—;—;—;—;0.375;0.3;0.374;16
8;RIA (SOTA);0.56;0.57;0.55;0.41;—;—;—;—;—;—;—;—;—;—;—;0.372;0.0;0.372;14
9;E-HTA (Hessian);0.52;0.52;0.51;0.42;—;—;—;—;—;—;—;—;—;—;—;0.363;0.0;0.363;20
10;SET-v2 (TESA init);0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.000;72.9;0.000;27
11;TESA-26;0.62;0.62;0.62;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.000;72.9;0.000;8
