seed;sparsity;teacher_f1;teacher_acc;teacher_params;rcu_train;sparse_f1;sparse_acc;sparse_nnz;rcu_prune;rcu_infer_teacher;rcu_infer_sparse;method;compact_f1;compact_acc;compact_params;compact_hiddens;compression;delta_f1;rcu_convert;rcu_infer_compact;speedup_rcu
42;0.8;0.8964;0.8964;242762;33.57;0.7514;0.7528;48553;0.0653;0.0935;0.0925;GFCS;0.8634;0.8641;186823;[204, 102, 51];1.3;0.112;17.08;0.094;0.98
42;0.8;0.8964;0.8964;242762;33.57;0.7514;0.7528;48553;0.0653;0.0935;0.0925;SDR-Mag;0.8724;0.8726;242762;[256, 128, 64];1.0;0.121;55.74;0.0936;0.99
42;0.8;0.8964;0.8964;242762;33.57;0.7514;0.7528;48553;0.0653;0.0935;0.0925;SDR-Evo;0.8719;0.8725;228646;[243, 122, 61];1.1;0.1205;69.09;0.0962;0.96
42;0.8;0.8964;0.8964;242762;33.57;0.7514;0.7528;48553;0.0653;0.0935;0.0925;SDR-GFCS;0.8567;0.8545;187710;[205, 102, 51];1.3;0.1053;54.39;0.0908;1.02
42;0.85;0.8964;0.8964;242762;33.57;0.7017;0.7031;36415;0.1776;0.0935;0.0905;GFCS;0.8657;0.865;186311;[204, 100, 51];1.3;0.164;16.39;0.0902;1.0
42;0.85;0.8964;0.8964;242762;33.57;0.7017;0.7031;36415;0.1776;0.0935;0.0905;SDR-Mag;0.8751;0.8751;242120;[256, 126, 64];1.0;0.1734;57.21;0.0944;0.96
42;0.85;0.8964;0.8964;242762;33.57;0.7017;0.7031;36415;0.1776;0.0935;0.0905;SDR-Evo;0.8572;0.8572;226136;[243, 118, 51];1.1;0.1555;75.43;0.1064;0.85
42;0.85;0.8964;0.8964;242762;33.57;0.7017;0.7031;36415;0.1776;0.0935;0.0905;SDR-GFCS;0.8567;0.8545;187710;[205, 102, 51];1.3;0.155;61.83;0.1144;0.79
42;0.9;0.8964;0.8964;242762;33.57;0.59;0.6063;24277;0.0752;0.0935;0.1068;GFCS;0.8656;0.8648;166697;[183, 97, 48];1.5;0.2755;18.75;0.1048;1.02
42;0.9;0.8964;0.8964;242762;33.57;0.59;0.6063;24277;0.0752;0.0935;0.1068;SDR-Mag;0.873;0.8727;238623;[254, 122, 61];1.0;0.283;63.51;0.1227;0.87
42;0.9;0.8964;0.8964;242762;33.57;0.59;0.6063;24277;0.0752;0.0935;0.1068;SDR-Evo;0.867;0.869;226595;[243, 120, 50];1.1;0.2769;93.61;0.1585;0.67
42;0.9;0.8964;0.8964;242762;33.57;0.59;0.6063;24277;0.0752;0.0935;0.1068;SDR-GFCS;0.8621;0.8627;169970;[185, 102, 51];1.4;0.272;103.6;0.1692;0.63
123;0.8;0.8952;0.8951;242762;65.77;0.7417;0.7474;48553;0.1563;0.2026;0.1895;GFCS;0.8664;0.8651;185936;[203, 102, 51];1.3;0.1247;34.81;0.1904;1.0
123;0.8;0.8952;0.8951;242762;65.77;0.7417;0.7474;48553;0.1563;0.2026;0.1895;SDR-Mag;0.8674;0.8688;240936;[254, 128, 64];1.0;0.1257;95.35;0.1325;1.43
123;0.8;0.8952;0.8951;242762;65.77;0.7417;0.7474;48553;0.1563;0.2026;0.1895;SDR-Evo;0.8666;0.8653;224376;[243, 108, 61];1.1;0.1249;89.83;0.1322;1.43
123;0.8;0.8952;0.8951;242762;65.77;0.7417;0.7474;48553;0.1563;0.2026;0.1895;SDR-GFCS;0.8532;0.8545;187710;[205, 102, 51];1.3;0.1115;68.53;0.1203;1.58
123;0.85;0.8952;0.8951;242762;65.77;0.6987;0.7163;36415;0.0817;0.2026;0.1189;GFCS;0.8677;0.8664;185171;[203, 99, 51];1.3;0.1691;21.37;0.1195;1.0
123;0.85;0.8952;0.8951;242762;65.77;0.6987;0.7163;36415;0.0817;0.2026;0.1189;SDR-Mag;0.8735;0.874;239660;[254, 124, 64];1.0;0.1748;69.5;0.123;0.97
123;0.85;0.8952;0.8951;242762;65.77;0.6987;0.7163;36415;0.0817;0.2026;0.1189;SDR-Evo;0.8777;0.8782;228646;[243, 122, 61];1.1;0.1791;108.33;0.2285;0.52
123;0.85;0.8952;0.8951;242762;65.77;0.6987;0.7163;36415;0.0817;0.2026;0.1189;SDR-GFCS;0.8532;0.8545;187710;[205, 102, 51];1.3;0.1545;305.95;0.2265;0.52
123;0.9;0.8952;0.8951;242762;65.77;0.6152;0.6351;24277;0.1548;0.2026;0.2235;GFCS;0.8583;0.8597;169354;[187, 92, 51];1.4;0.2431;42.98;0.2135;1.05
123;0.9;0.8952;0.8951;242762;65.77;0.6152;0.6351;24277;0.1548;0.2026;0.2235;SDR-Mag;0.8564;0.8571;236207;[253, 116, 64];1.0;0.2412;139.92;0.21;1.06
123;0.9;0.8952;0.8951;242762;65.77;0.6152;0.6351;24277;0.1548;0.2026;0.2235;SDR-Evo;0.8763;0.8775;218111;[238, 102, 61];1.1;0.2611;190.21;0.2396;0.93
123;0.9;0.8952;0.8951;242762;65.77;0.6152;0.6351;24277;0.1548;0.2026;0.2235;SDR-GFCS;0.8747;0.8744;174405;[190, 102, 51];1.4;0.2596;179.17;0.3144;0.71
