dataset;seed;tier;sparsity;sparse_f1;final_f1;delta_f1;speedup_real;speedup_flops;compression;compact_params;merged_hiddens;convert_time_s
moons;42;1;0.85;0.9112;0.9617;0.0505;0.95;5.5;5.4;6239;[83, 62, 12];0.375
moons;123;1;0.9;0.9566;0.9616;0.005;1.13;13.1;12.7;2645;[49, 46, 4];0.349
circles;42;1;0.85;0.9266;0.9217;-0.0049;1.06;8.2;8.0;4211;[68, 51, 9];0.36
circles;123;1;0.85;0.95;0.9399;-0.0101;1.06;7.6;7.5;4487;[58, 65, 7];0.35
spirals;42;2;0.9;0.9533;0.9717;0.0184;1.07;26.7;25.0;1349;[72, 12, 17];0.384
spirals;123;2;0.9;0.9483;0.965;0.0167;1.05;16.2;15.6;2159;[55, 27, 16];0.338
blobs;42;2;0.65;1.0;1.0;0.0;1.01;2.4;2.3;14504;[100, 80, 72];0.351
blobs;123;2;0.85;0.9683;0.9633;-0.005;1.02;3.8;3.8;8939;[86, 63, 47];0.371
gaussian_quantiles;42;3;0.75;0.8281;0.9518;0.1237;1.02;3.1;3.1;10899;[88, 73, 53];0.374
gaussian_quantiles;123;3;0.75;0.8069;0.9416;0.1347;1.02;3.1;3.1;10993;[80, 73, 62];0.38
classification;42;3;0.75;0.8119;0.8385;0.0266;1.03;3.1;3.1;11100;[94, 66, 64];0.377
classification;123;3;0.85;0.8055;0.8764;0.0709;1.02;4.3;4.2;8059;[74, 67, 39];0.352
highdim;42;4;0.7;0.8582;0.8825;0.0243;1.03;2.5;2.4;16429;[102, 74, 45];0.358
highdim;123;4;0.65;0.8817;0.892;0.0103;1.02;2.4;2.4;16744;[102, 79, 40];0.35
sequence_cls;42;4;0.9;0.8247;0.9144;0.0897;1.05;10.2;10.0;3587;[33, 37, 42];0.36
sequence_cls;123;4;0.85;0.8928;0.9216;0.0288;1.04;6.6;6.5;5489;[45, 45, 53];0.401
