task,method,aucc
L0/synth_classification/gb,CMA-ES,0.9167711598746082
L0/synth_classification/gb,DEHB,0.936990595611285
L0/synth_classification/gb,GP-BO,0.9235109717868337
L0/synth_classification/gb,L-SHADE,0.9235109717868337
L0/synth_classification/gb,Random,0.936990595611285
L0/synth_classification/gb,SACMA-DAC,0.9255485893416927
L0/synth_classification/gb,SACMA-MAB,0.9235109717868337
L0/synth_classification/gb,SMAC,0.9100313479623823
L0/synth_classification/gb,Sigma-CMA,0.9068965517241377
L0/synth_classification/gb,TPE,0.9239811912225704
L0/synth_classification/gb,WL-CMA,0.9380877742946707
L0/synth_classification/hgb,CMA-ES,0.8476343223736975
L0/synth_classification/hgb,DEHB,0.8263833199679235
L0/synth_classification/hgb,GP-BO,0.8604651162790703
L0/synth_classification/hgb,L-SHADE,0.8584603047313554
L0/synth_classification/hgb,Random,0.8283881315156381
L0/synth_classification/hgb,SACMA-DAC,0.8616680032076985
L0/synth_classification/hgb,SACMA-MAB,0.8588612670408984
L0/synth_classification/hgb,SMAC,0.8520449077786689
L0/synth_classification/hgb,Sigma-CMA,0.8807137129109863
L0/synth_classification/hgb,TPE,0.8720930232558142
L0/synth_classification/hgb,WL-CMA,0.8742983159583002
L0/synth_classification/mlp,CMA-ES,0.9190710767065445
L0/synth_classification/mlp,DEHB,0.9014778325123152
L0/synth_classification/mlp,GP-BO,0.926988036593948
L0/synth_classification/mlp,L-SHADE,0.9217100633356793
L0/synth_classification/mlp,Random,0.9203026038001407
L0/synth_classification/mlp,SACMA-DAC,0.9283954961294864
L0/synth_classification/mlp,SACMA-MAB,0.9422941590429277
L0/synth_classification/mlp,SMAC,0.9146727656579874
L0/synth_classification/mlp,Sigma-CMA,0.8944405348346236
L0/synth_classification/mlp,TPE,0.8925052779732585
L0/synth_classification/mlp,WL-CMA,0.9361365235749473
L0/synth_classification/rf,CMA-ES,0.9206896551724139
L0/synth_classification/rf,DEHB,0.9201149425287357
L0/synth_classification/rf,GP-BO,0.936781609195402
L0/synth_classification/rf,L-SHADE,0.9310344827586206
L0/synth_classification/rf,Random,0.9163793103448277
L0/synth_classification/rf,SACMA-DAC,0.9353448275862066
L0/synth_classification/rf,SACMA-MAB,0.9316091954022987
L0/synth_classification/rf,SMAC,0.9491379310344827
L0/synth_classification/rf,Sigma-CMA,0.8994252873563215
L0/synth_classification/rf,TPE,0.8994252873563218
L0/synth_classification/rf,WL-CMA,0.9448275862068963
L0/synth_classification/svm,CMA-ES,0.9512800417972832
L0/synth_classification/svm,DEHB,0.9213688610240335
L0/synth_classification/svm,GP-BO,0.9357366771159874
L0/synth_classification/svm,L-SHADE,0.9477533960292581
L0/synth_classification/svm,Random,0.9272466039707418
L0/synth_classification/svm,SACMA-DAC,0.9494514106583072
L0/synth_classification/svm,SACMA-MAB,0.9519331243469173
L0/synth_classification/svm,SMAC,0.9463166144200628
L0/synth_classification/svm,Sigma-CMA,0.9438349007314524
L0/synth_classification/svm,TPE,0.9375653082549634
L0/synth_classification/svm,WL-CMA,0.9344305120167189
L0/synth_friedman/gb,CMA-ES,0.9683079322024757
L0/synth_friedman/gb,DEHB,0.9458262767749115
L0/synth_friedman/gb,GP-BO,0.9509934032348981
L0/synth_friedman/gb,L-SHADE,0.9494128016662869
L0/synth_friedman/gb,Random,0.9452061129969598
L0/synth_friedman/gb,SACMA-DAC,0.9547523617163349
L0/synth_friedman/gb,SACMA-MAB,0.9551340812046495
L0/synth_friedman/gb,SMAC,0.9581174167521589
L0/synth_friedman/gb,Sigma-CMA,0.9484675100549781
L0/synth_friedman/gb,TPE,0.9555258278258649
L0/synth_friedman/gb,WL-CMA,0.9584753177208001
L0/synth_friedman/hgb,CMA-ES,0.9452543071207602
L0/synth_friedman/hgb,DEHB,0.9354307564883526
L0/synth_friedman/hgb,GP-BO,0.9556984356994316
L0/synth_friedman/hgb,L-SHADE,0.9382831893725525
L0/synth_friedman/hgb,Random,0.9355452289910889
L0/synth_friedman/hgb,SACMA-DAC,0.9478840433518094
L0/synth_friedman/hgb,SACMA-MAB,0.9552162836832542
L0/synth_friedman/hgb,SMAC,0.9513625997263542
L0/synth_friedman/hgb,Sigma-CMA,0.9359373898387466
L0/synth_friedman/hgb,TPE,0.9312230802643453
L0/synth_friedman/hgb,WL-CMA,0.9434863523707386
L0/synth_friedman/mlp,CMA-ES,0.9785178360132653
L0/synth_friedman/mlp,DEHB,0.9807371535114313
L0/synth_friedman/mlp,GP-BO,0.9786130198780083
L0/synth_friedman/mlp,L-SHADE,0.9819725772241772
L0/synth_friedman/mlp,Random,0.9827187185962263
L0/synth_friedman/mlp,SACMA-DAC,0.9813718770169915
L0/synth_friedman/mlp,SACMA-MAB,0.9781343747436642
L0/synth_friedman/mlp,SMAC,0.980196794965327
L0/synth_friedman/mlp,Sigma-CMA,0.9749282543271107
L0/synth_friedman/mlp,TPE,0.9801578602276874
L0/synth_friedman/mlp,WL-CMA,0.9840144846624476
L0/synth_friedman/rf,CMA-ES,0.8858028023155146
L0/synth_friedman/rf,DEHB,0.8688744471541098
L0/synth_friedman/rf,GP-BO,0.8735187569370401
L0/synth_friedman/rf,L-SHADE,0.8764858331454732
L0/synth_friedman/rf,Random,0.8688744471541098
L0/synth_friedman/rf,SACMA-DAC,0.8666265278740901
L0/synth_friedman/rf,SACMA-MAB,0.8609675298920478
L0/synth_friedman/rf,SMAC,0.8551745601465284
L0/synth_friedman/rf,Sigma-CMA,0.8742172683786337
L0/synth_friedman/rf,TPE,0.8443639162066777
L0/synth_friedman/rf,WL-CMA,0.9008090036525791
L0/synth_friedman/svm,CMA-ES,0.9253857870426369
L0/synth_friedman/svm,DEHB,0.9072005304338042
L0/synth_friedman/svm,GP-BO,0.9204813870859156
L0/synth_friedman/svm,L-SHADE,0.9226305252725961
L0/synth_friedman/svm,Random,0.9038199641813882
L0/synth_friedman/svm,SACMA-DAC,0.9410692521526007
L0/synth_friedman/svm,SACMA-MAB,0.9253309058671135
L0/synth_friedman/svm,SMAC,0.919935257734473
L0/synth_friedman/svm,Sigma-CMA,0.9088807541815817
L0/synth_friedman/svm,TPE,0.9231055944220175
L0/synth_friedman/svm,WL-CMA,0.891570165176035
L0/synth_regression/gb,CMA-ES,0.933106890480344
L0/synth_regression/gb,DEHB,0.937052576282548
L0/synth_regression/gb,GP-BO,0.9206841523076885
L0/synth_regression/gb,L-SHADE,0.9224230503182171
L0/synth_regression/gb,Random,0.928773047163868
L0/synth_regression/gb,SACMA-DAC,0.9266336157389489
L0/synth_regression/gb,SACMA-MAB,0.9265655094557321
L0/synth_regression/gb,SMAC,0.935071523844698
L0/synth_regression/gb,Sigma-CMA,0.9355354026757454
L0/synth_regression/gb,TPE,0.9377591568897674
L0/synth_regression/gb,WL-CMA,0.9469660114355092
L0/synth_regression/hgb,CMA-ES,0.9088947133984413
L0/synth_regression/hgb,DEHB,0.8965422180226923
L0/synth_regression/hgb,GP-BO,0.9357747106337468
L0/synth_regression/hgb,L-SHADE,0.9165542873793967
L0/synth_regression/hgb,Random,0.9005749365761808
L0/synth_regression/hgb,SACMA-DAC,0.9281330031757165
L0/synth_regression/hgb,SACMA-MAB,0.9299998427925915
L0/synth_regression/hgb,SMAC,0.9225873343426506
L0/synth_regression/hgb,Sigma-CMA,0.925036799702418
L0/synth_regression/hgb,TPE,0.9138362169985335
L0/synth_regression/hgb,WL-CMA,0.9363803822785507
L0/synth_regression/mlp,CMA-ES,0.99277977190779
L0/synth_regression/mlp,DEHB,0.9917167643356208
L0/synth_regression/mlp,GP-BO,0.9906115284685844
L0/synth_regression/mlp,L-SHADE,0.9903598931125397
L0/synth_regression/mlp,Random,0.9913095917296539
L0/synth_regression/mlp,SACMA-DAC,0.9908532276713407
L0/synth_regression/mlp,SACMA-MAB,0.9908043702901836
L0/synth_regression/mlp,SMAC,0.9905522359255963
L0/synth_regression/mlp,Sigma-CMA,0.9794518645020439
L0/synth_regression/mlp,TPE,0.9895239794001929
L0/synth_regression/mlp,WL-CMA,0.9896816890135235
L0/synth_regression/rf,CMA-ES,0.8729866511324021
L0/synth_regression/rf,DEHB,0.8773937587802898
L0/synth_regression/rf,GP-BO,0.877785667833004
L0/synth_regression/rf,L-SHADE,0.8563437555202009
L0/synth_regression/rf,Random,0.9018149259128597
L0/synth_regression/rf,SACMA-DAC,0.8527714422587656
L0/synth_regression/rf,SACMA-MAB,0.8453456498085108
L0/synth_regression/rf,SMAC,0.8560829205546929
L0/synth_regression/rf,Sigma-CMA,0.8899092496368375
L0/synth_regression/rf,TPE,0.8652560137096191
L0/synth_regression/rf,WL-CMA,0.8808119978973455
L0/synth_regression/svm,CMA-ES,0.8157017496515575
L0/synth_regression/svm,DEHB,0.8462751531463384
L0/synth_regression/svm,GP-BO,0.9128158558646172
L0/synth_regression/svm,L-SHADE,0.906301103037253
L0/synth_regression/svm,Random,0.8539132666521629
L0/synth_regression/svm,SACMA-DAC,0.9064297067163527
L0/synth_regression/svm,SACMA-MAB,0.9161230125025143
L0/synth_regression/svm,SMAC,0.9158155512381594
L0/synth_regression/svm,Sigma-CMA,0.9302240577248233
L0/synth_regression/svm,TPE,0.8348862767974765
L0/synth_regression/svm,WL-CMA,0.8760485733673722
L2/yahpo__lcbench__126025/yahpo,CMA-ES,0.5756630848428141
L2/yahpo__lcbench__126025/yahpo,DEHB,0.5696325890386174
L2/yahpo__lcbench__126025/yahpo,GP-BO,0.8159520392679853
L2/yahpo__lcbench__126025/yahpo,L-SHADE,0.6141192053599231
L2/yahpo__lcbench__126025/yahpo,Random,0.5686458137686061
L2/yahpo__lcbench__126025/yahpo,SACMA-DAC,0.774809090073423
L2/yahpo__lcbench__126025/yahpo,SACMA-MAB,0.7102818384874457
L2/yahpo__lcbench__126025/yahpo,SMAC,0.6540910527152433
L2/yahpo__lcbench__126025/yahpo,Sigma-CMA,0.6302335177040584
L2/yahpo__lcbench__126025/yahpo,TPE,0.6969272625709667
L2/yahpo__lcbench__126025/yahpo,WL-CMA,0.7217084223745482
L2/yahpo__lcbench__126026/yahpo,CMA-ES,0.8921509017716169
L2/yahpo__lcbench__126026/yahpo,DEHB,0.8882855694964502
L2/yahpo__lcbench__126026/yahpo,GP-BO,0.9494917920609451
L2/yahpo__lcbench__126026/yahpo,L-SHADE,0.906066319170868
L2/yahpo__lcbench__126026/yahpo,Random,0.876421093980071
L2/yahpo__lcbench__126026/yahpo,SACMA-DAC,0.9415889878489461
L2/yahpo__lcbench__126026/yahpo,SACMA-MAB,0.9286303585185807
L2/yahpo__lcbench__126026/yahpo,SMAC,0.9441790478526577
L2/yahpo__lcbench__126026/yahpo,Sigma-CMA,0.8962011272533689
L2/yahpo__lcbench__126026/yahpo,TPE,0.9286174008913364
L2/yahpo__lcbench__126026/yahpo,WL-CMA,0.9420079464188633
L2/yahpo__lcbench__167104/yahpo,CMA-ES,0.8111264465118275
L2/yahpo__lcbench__167104/yahpo,DEHB,0.7915505063522439
L2/yahpo__lcbench__167104/yahpo,GP-BO,0.8991528419604007
L2/yahpo__lcbench__167104/yahpo,L-SHADE,0.833328115088425
L2/yahpo__lcbench__167104/yahpo,Random,0.7829137791740743
L2/yahpo__lcbench__167104/yahpo,SACMA-DAC,0.8877547266490249
L2/yahpo__lcbench__167104/yahpo,SACMA-MAB,0.8790601020147357
L2/yahpo__lcbench__167104/yahpo,SMAC,0.8687904301396837
L2/yahpo__lcbench__167104/yahpo,Sigma-CMA,0.7443528429505433
L2/yahpo__lcbench__167104/yahpo,TPE,0.861012240460975
L2/yahpo__lcbench__167104/yahpo,WL-CMA,0.8508031730490615
L2/yahpo__lcbench__167149/yahpo,CMA-ES,0.8311613533641249
L2/yahpo__lcbench__167149/yahpo,DEHB,0.8321741880894
L2/yahpo__lcbench__167149/yahpo,GP-BO,0.912665488914308
L2/yahpo__lcbench__167149/yahpo,L-SHADE,0.8736876057724445
L2/yahpo__lcbench__167149/yahpo,Random,0.8428303354569753
L2/yahpo__lcbench__167149/yahpo,SACMA-DAC,0.9299215228626074
L2/yahpo__lcbench__167149/yahpo,SACMA-MAB,0.9236811651333756
L2/yahpo__lcbench__167149/yahpo,SMAC,0.9012747372023397
L2/yahpo__lcbench__167149/yahpo,Sigma-CMA,0.8307396620534291
L2/yahpo__lcbench__167149/yahpo,TPE,0.8957653353987864
L2/yahpo__lcbench__167149/yahpo,WL-CMA,0.8982419446721246
L2/yahpo__lcbench__167152/yahpo,CMA-ES,0.9248695810275793
L2/yahpo__lcbench__167152/yahpo,DEHB,0.9361941660393256
L2/yahpo__lcbench__167152/yahpo,GP-BO,0.962695064824345
L2/yahpo__lcbench__167152/yahpo,L-SHADE,0.9462174436273161
L2/yahpo__lcbench__167152/yahpo,Random,0.9433031921089601
L2/yahpo__lcbench__167152/yahpo,SACMA-DAC,0.9522211140663663
L2/yahpo__lcbench__167152/yahpo,SACMA-MAB,0.9544062639456145
L2/yahpo__lcbench__167152/yahpo,SMAC,0.956809279299693
L2/yahpo__lcbench__167152/yahpo,Sigma-CMA,0.9192804777459431
L2/yahpo__lcbench__167152/yahpo,TPE,0.9639433577354043
L2/yahpo__lcbench__167152/yahpo,WL-CMA,0.9574096683135787
L2/yahpo__lcbench__167168/yahpo,CMA-ES,0.6266240349174119
L2/yahpo__lcbench__167168/yahpo,DEHB,0.6078771670003645
L2/yahpo__lcbench__167168/yahpo,GP-BO,0.8440407591844956
L2/yahpo__lcbench__167168/yahpo,L-SHADE,0.6696596109655814
L2/yahpo__lcbench__167168/yahpo,Random,0.6124871743746504
L2/yahpo__lcbench__167168/yahpo,SACMA-DAC,0.7554981264627483
L2/yahpo__lcbench__167168/yahpo,SACMA-MAB,0.8143356771163641
L2/yahpo__lcbench__167168/yahpo,SMAC,0.7137599911401784
L2/yahpo__lcbench__167168/yahpo,Sigma-CMA,0.6385350142858899
L2/yahpo__lcbench__167168/yahpo,TPE,0.7668743844368131
L2/yahpo__lcbench__167168/yahpo,WL-CMA,0.7764622193563391
L2/yahpo__lcbench__168868/yahpo,CMA-ES,0.8970116220245352
L2/yahpo__lcbench__168868/yahpo,DEHB,0.8935630540885032
L2/yahpo__lcbench__168868/yahpo,GP-BO,0.941032354502119
L2/yahpo__lcbench__168868/yahpo,L-SHADE,0.9106341713471818
L2/yahpo__lcbench__168868/yahpo,Random,0.8929836414749693
L2/yahpo__lcbench__168868/yahpo,SACMA-DAC,0.9428226134114842
L2/yahpo__lcbench__168868/yahpo,SACMA-MAB,0.9396253419153104
L2/yahpo__lcbench__168868/yahpo,SMAC,0.9354918905193332
L2/yahpo__lcbench__168868/yahpo,Sigma-CMA,0.9303998260185932
L2/yahpo__lcbench__168868/yahpo,TPE,0.91396345501014
L2/yahpo__lcbench__168868/yahpo,WL-CMA,0.9334384112679615
L2/yahpo__lcbench__34539/yahpo,CMA-ES,0.5176398367149335
L2/yahpo__lcbench__34539/yahpo,DEHB,0.5884878369871464
L2/yahpo__lcbench__34539/yahpo,GP-BO,0.5539911452562691
L2/yahpo__lcbench__34539/yahpo,L-SHADE,0.586482955434116
L2/yahpo__lcbench__34539/yahpo,Random,0.5658923032533536
L2/yahpo__lcbench__34539/yahpo,SACMA-DAC,0.6817590709952992
L2/yahpo__lcbench__34539/yahpo,SACMA-MAB,0.7616251525449681
L2/yahpo__lcbench__34539/yahpo,SMAC,0.6144589618928226
L2/yahpo__lcbench__34539/yahpo,Sigma-CMA,0.7343043740577655
L2/yahpo__lcbench__34539/yahpo,TPE,0.5769610286374067
L2/yahpo__lcbench__34539/yahpo,WL-CMA,0.6929004348812844
L2/yahpo__lcbench__3945/yahpo,CMA-ES,0.6149815223509718
L2/yahpo__lcbench__3945/yahpo,DEHB,0.6869903924006898
L2/yahpo__lcbench__3945/yahpo,GP-BO,0.6940764298474125
L2/yahpo__lcbench__3945/yahpo,L-SHADE,0.7107711715422207
L2/yahpo__lcbench__3945/yahpo,Random,0.6695497461617851
L2/yahpo__lcbench__3945/yahpo,SACMA-DAC,0.8148406113787248
L2/yahpo__lcbench__3945/yahpo,SACMA-MAB,0.7251365626742614
L2/yahpo__lcbench__3945/yahpo,SMAC,0.7559380089362906
L2/yahpo__lcbench__3945/yahpo,Sigma-CMA,0.7900627458634166
L2/yahpo__lcbench__3945/yahpo,TPE,0.7063746068794988
L2/yahpo__lcbench__3945/yahpo,WL-CMA,0.7385321421019257
L2/yahpo__lcbench__7593/yahpo,CMA-ES,0.6123244211067695
L2/yahpo__lcbench__7593/yahpo,DEHB,0.5573170244633987
L2/yahpo__lcbench__7593/yahpo,GP-BO,0.876025025813548
L2/yahpo__lcbench__7593/yahpo,L-SHADE,0.6879922872995161
L2/yahpo__lcbench__7593/yahpo,Random,0.6218170321933493
L2/yahpo__lcbench__7593/yahpo,SACMA-DAC,0.8265918221513083
L2/yahpo__lcbench__7593/yahpo,SACMA-MAB,0.8055306227128681
L2/yahpo__lcbench__7593/yahpo,SMAC,0.7776841801967284
L2/yahpo__lcbench__7593/yahpo,Sigma-CMA,0.7712189484766387
L2/yahpo__lcbench__7593/yahpo,TPE,0.7756210296137345
L2/yahpo__lcbench__7593/yahpo,WL-CMA,0.7702681594004321
L2_MLP_PD1/cifar100_wresnet/pd1,CMA-ES,0.9999990670114103
L2_MLP_PD1/cifar100_wresnet/pd1,DEHB,0.9999989738128141
L2_MLP_PD1/cifar100_wresnet/pd1,GP-BO,0.9999990821796962
L2_MLP_PD1/cifar100_wresnet/pd1,L-SHADE,0.9999990509344108
L2_MLP_PD1/cifar100_wresnet/pd1,Random,0.9999990800493189
L2_MLP_PD1/cifar100_wresnet/pd1,SACMA-DAC,0.9999992326155647
L2_MLP_PD1/cifar100_wresnet/pd1,SACMA-MAB,0.9999990347266507
L2_MLP_PD1/cifar100_wresnet/pd1,SMAC,0.9999991817689018
L2_MLP_PD1/cifar100_wresnet/pd1,Sigma-CMA,0.9999988505266675
L2_MLP_PD1/cifar100_wresnet/pd1,TPE,0.9999986394461815
L2_MLP_PD1/cifar100_wresnet/pd1,WL-CMA,0.9999989768338582
L2_MLP_PD1/cifar10_wresnet/pd1,CMA-ES,0.9999648427683028
L2_MLP_PD1/cifar10_wresnet/pd1,DEHB,0.9999459448474984
L2_MLP_PD1/cifar10_wresnet/pd1,GP-BO,0.9999591480769101
L2_MLP_PD1/cifar10_wresnet/pd1,L-SHADE,0.999954110091239
L2_MLP_PD1/cifar10_wresnet/pd1,Random,0.9999495096766038
L2_MLP_PD1/cifar10_wresnet/pd1,SACMA-DAC,0.9999587086612431
L2_MLP_PD1/cifar10_wresnet/pd1,SACMA-MAB,0.9999556557142558
L2_MLP_PD1/cifar10_wresnet/pd1,SMAC,0.9999610753936052
L2_MLP_PD1/cifar10_wresnet/pd1,Sigma-CMA,0.9999395011158634
L2_MLP_PD1/cifar10_wresnet/pd1,TPE,0.9999384083942793
L2_MLP_PD1/cifar10_wresnet/pd1,WL-CMA,0.99996594123342
L2_MLP_PD1/fashion_cnn/pd1,CMA-ES,0.9978394329730031
L2_MLP_PD1/fashion_cnn/pd1,DEHB,0.9963512997242249
L2_MLP_PD1/fashion_cnn/pd1,GP-BO,0.9964007272636707
L2_MLP_PD1/fashion_cnn/pd1,L-SHADE,0.9961041687065469
L2_MLP_PD1/fashion_cnn/pd1,Random,0.9967287173069458
L2_MLP_PD1/fashion_cnn/pd1,SACMA-DAC,0.9963115189943909
L2_MLP_PD1/fashion_cnn/pd1,SACMA-MAB,0.9964474420909095
L2_MLP_PD1/fashion_cnn/pd1,SMAC,0.9956615685668766
L2_MLP_PD1/fashion_cnn/pd1,Sigma-CMA,0.9970896630775048
L2_MLP_PD1/fashion_cnn/pd1,TPE,0.9954835763815527
L2_MLP_PD1/fashion_cnn/pd1,WL-CMA,0.9945107359701721
L2_MLP_PD1/imagenet_resnet/pd1,CMA-ES,0.9800921500193465
