reference,competitor,P(ref_better),P(equivalent),P(comp_better),verdict,n_tasks
SACMA-DAC,SACMA-MAB,0.06476,0.9284,0.00684,EQUIVALENT,43
SACMA-DAC,WL-CMA,0.44722,0.5523,0.00048,EQUIVALENT,43
SACMA-DAC,Sigma-CMA,0.44796,0.55156,0.00048,EQUIVALENT,43
SACMA-DAC,GP-BO,0.74716,0.25272,0.00012,REF WINS,43
SACMA-DAC,TPE,0.80124,0.19874,2e-05,REF WINS,43
SACMA-DAC,SMAC,0.9386,0.0614,0.0,REF WINS,43
SACMA-DAC,L-SHADE,0.99664,0.00336,0.0,REF WINS,43
SACMA-DAC,CMA-ES,1.0,0.0,0.0,REF WINS,43
SACMA-DAC,DEHB,1.0,0.0,0.0,REF WINS,43
SACMA-DAC,Random,1.0,0.0,0.0,REF WINS,43
