method,is_author,avg_rank,median_rank,win_count,win_pct,top3_count,top3_pct,total_tasks,best_on,worst_on,avg_norm_regret,avg_rcu_total
SACMA-DAC,True,3.686046511627907,3.0,8,18.6046511627907,24,55.81395348837209,43,"['L0/synth_classification/gb', 'L0/synth_friedman/hgb', 'L0/synth_friedman/svm', 'L2/yahpo__lcbench__3945/yahpo', 'L2_MLP_PD1/cifar100_wresnet/pd1']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.2608016958834539,1275.118550518488
SACMA-MAB,True,3.953488372093023,3.0,7,16.27906976744186,22,51.162790697674424,43,"['L0/synth_regression/gb', 'L0/synth_regression/svm', 'L2/yahpo__lcbench__34539/yahpo', 'L2_MLP_PD1/imagenet_resnet/pd1', 'L2_MLP_PD1/mnist_cnn/pd1']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.3546601495682246,894.9436434635792
WL-CMA,True,4.604651162790698,5.0,3,6.976744186046512,13,30.23255813953488,43,"['L0/synth_friedman/gb', 'L2_MLP_PD1/translate_transformer/pd1', 'L5_FCNET/fcnet_parkinsons/fcnet']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.37516949581872233,1581.845813723075
Sigma-CMA,True,4.616279069767442,4.0,2,4.651162790697675,19,44.18604651162791,43,"['L0/synth_friedman/mlp', 'L2_MLP_PD1/cifar10_wresnet/pd1']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.3874514608205764,831.6422817519986
GP-BO,False,5.093023255813954,5.0,11,25.581395348837212,17,39.53488372093023,43,"['L0/synth_friedman/rf', 'L0/synth_regression/hgb', 'L2/yahpo__lcbench__126025/yahpo', 'L2/yahpo__lcbench__126026/yahpo', 'L2/yahpo__lcbench__167104/yahpo']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.4445208093186746,1389.0383786436728
TPE,False,5.1395348837209305,5.0,3,6.976744186046512,11,25.581395348837212,43,"['L0/synth_regression/rf', 'L5_FCNET/fcnet_protein/fcnet', 'L5_FCNET/fcnet_slice/fcnet']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.4638556174466353,793.6835405502594
SMAC,False,5.441860465116279,5.0,1,2.3255813953488373,11,25.581395348837212,43,['L0/synth_classification/rf'],"['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.46056795723059996,809.2769049644588
L-SHADE,False,6.383720930232558,7.0,3,6.976744186046512,6,13.953488372093023,43,"['L0/synth_regression/mlp', 'L2_MLP_PD1/fashion_cnn/pd1', 'L2_MLP_PD1/svhn_wresnet/pd1']","['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.5837672653554008,710.2753251365601
CMA-ES,False,8.011627906976743,9.0,1,2.3255813953488373,3,6.976744186046512,43,['L3_NAS_SUPER/yahpo__nb301__None/yahpo'],"['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.7513933326021234,751.7475989153138
DEHB,False,9.186046511627907,10.0,0,0.0,1,2.3255813953488373,43,[],"['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",0.9134595127351073,857.3210574359763
Random,False,9.883720930232558,10.0,0,0.0,0,0.0,43,[],"['L0/synth_classification/gb', 'L0/synth_classification/hgb', 'L0/synth_classification/mlp', 'L0/synth_classification/rf', 'L0/synth_classification/svm']",1.0,688.0023731382968
